"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"st","FBgn0003515","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"stg1","FBgn0064123","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Sug","FBgn0036191","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"sun","FBgn0014391","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Sur","FBgn0028675","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"sut1","FBgn0028563","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"sut2","FBgn0028562","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"sut3","FBgn0028561","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"sut4","FBgn0028560","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"tadr","FBgn0032911","Secondary Transporter","The Amino Acid-Polyamine-Organocation (APC) Family","",""
"Tango9","FBgn0260744","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"Task6","FBgn0038165","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Task7","FBgn0037690","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Tim17a1","FBgn0038018","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"Tim17a2","FBgn0037307","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"Tim17b","FBgn0263977","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"Tim17b1","FBgn0037310","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"Tim17b2","FBgn0020371","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"Tom20","FBgn0036928","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"Tom40","FBgn0016041","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"Tom70","FBgn0032397","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"tomboy20","FBgn0037828","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"tomboy40","FBgn0033074","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"Tpc1","FBgn0037852","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Tpc2","FBgn0035078","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Tret1-1","FBgn0050035","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"Tret1-2","FBgn0033644","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"trp","FBgn0003861","Ion Channels","The Transient Receptor Potential Ca2+ Channel (TRP-CC) Family","",""
"Trp1","FBgn0011584","Ion Channels","The Non-selective Cation Channel-2 (NSCC2) Family","",""
"Trpgamma","FBgn0032593","Ion Channels","The Transient Receptor Potential Ca2+ Channel (TRP-CC) Family","",""
"trpl","FBgn0005614","Ion Channels","The Transient Receptor Potential Ca2+ Channel (TRP-CC) Family","",""
"Trpm","FBgn0265194","Ion Channels","The Transient Receptor Potential Ca2+ Channel (TRP-CC) Family","",""
"Tyler","FBgn0031038","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Ucp4A","FBgn0030872","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Ucp4B","FBgn0031758","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Ucp4C","FBgn0031757","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"unc-45","FBgn0010812","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"VAChT","FBgn0270928","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"VGAT","FBgn0033911","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"VGlut","FBgn0031424","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"Vha100-1","FBgn0028671","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha100-2","FBgn0028670","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha100-3","FBgn0028669","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha100-4","FBgn0038613","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha100-5","FBgn0032373","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha13","FBgn0026753","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha14-1","FBgn0262512","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha14-2","FBgn0037402","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha16-1","FBgn0262736","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha16-2","FBgn0028668","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha16-3","FBgn0028667","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha16-4","FBgn0262513","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha16-5","FBgn0032294","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha26","FBgn0015324","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha36-1","FBgn0022097","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha36-2","FBgn0033706","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha36-3","FBgn0040377","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha44","FBgn0262511","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha55","FBgn0005671","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha68-1","FBgn0265262","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha68-2","FBgn0263598","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vha68-3","FBgn0032464","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"VhaAC39-1","FBgn0028665","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"VhaAC39-2","FBgn0039058","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"VhaM9.7-a","FBgn0035521","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"VhaM9.7-b","FBgn0028663","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"VhaM9.7-c","FBgn0028664","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"VhaM9.7-d","FBgn0038458","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"VhaPPA1-1","FBgn0028662","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"VhaPPA1-2","FBgn0262514","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"VhaSFD","FBgn0027779","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Vmat","FBgn0260964","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"w","FBgn0003996","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"yin","FBgn0265575","Secondary Transporter","The Proton-dependent Oligopeptide Transporter (POT) Family","",""
"Zip102B","FBgn0039902","Secondary Transporter","The Zinc (Zn2+)-Iron (Fe2+) Permease (ZIP) Family","",""
"Zip42C.1","FBgn0033096","Secondary Transporter","The Zinc (Zn2+)-Iron (Fe2+) Permease (ZIP) Family","",""
"Zip42C.2","FBgn0033097","Secondary Transporter","The Zinc (Zn2+)-Iron (Fe2+) Permease (ZIP) Family","",""
"Zip88E","FBgn0038312","Secondary Transporter","The Zinc (Zn2+)-Iron (Fe2+) Permease (ZIP) Family","",""
"Zip89B","FBgn0038412","Secondary Transporter","The Zinc (Zn2+)-Iron (Fe2+) Permease (ZIP) Family","",""
"ZnT33D","FBgn0051860","Secondary Transporter","The Cation Diffusion Facilitator (CDF) Family","",""
"ZnT35C","FBgn0028516","Secondary Transporter","The Cation Diffusion Facilitator (CDF) Family","",""
"ZnT41F","FBgn0025693","Secondary Transporter","The Cation Diffusion Facilitator (CDF) Family","",""
"ZnT49B","FBgn0033762","Secondary Transporter","The Cation Diffusion Facilitator (CDF) Family","",""
"ZnT63C","FBgn0035432","Secondary Transporter","The Cation Diffusion Facilitator (CDF) Family","",""
"ZnT77C","FBgn0037000","Secondary Transporter","The Cation Diffusion Facilitator (CDF) Family","",""
"ZnT86D","FBgn0037875","Secondary Transporter","The Cation Diffusion Facilitator (CDF) Family","",""
"zpg","FBgn0024177","Ion Channels","The Gap Junction-forming Innexin (Innexin) Family","",""
"zyd","FBgn0265767","Secondary Transporter","The Ca2+:Cation Antiporter (CaCA) Family","",""
